camera_sensor_timestamp_ns,elapsed_realtime_ns,wall_time_ms,rotation_degrees,session_elapsed_ns
511453782697525,511453855903013,1773454778175,90,7297105049
511453816070806,511453881929263,1773454778201,90,7323131299
511453849444139,511453919967492,1773454778239,90,7361169528
511453882817420,511453951007440,1773454778270,90,7392209476
511453916190754,511453978921763,1773454778298,90,7420123799
511453949564035,511454011901867,1773454778331,90,7453103903
511453982937316,511454055022023,1773454778374,90,7496224059
511454016310650,511454084826971,1773454778403,90,7526029007
511454049683931,511454116410096,1773454778435,90,7557612132
511454083057264,511454144723169,1773454778463,90,7585925205
511454116430545,511454187091346,1773454778506,90,7628293382
511454149803879,511454218759003,1773454778537,90,7659961039
511454183177160,511454249342492,1773454778568,90,7690544528
511454216550493,511454288650982,1773454778607,90,7729853018
511454249923775,511454310769784,1773454778629,90,7751971820
511454283297056,511454358669367,1773454778677,90,7799871403
511454316670389,511454377747857,1773454778696,90,7818949893
511454350043670,511454422126242,1773454778741,90,7863328278
511454383417004,511454449389627,1773454778768,90,7890591663
511454416790285,511454485535044,1773454778804,90,7926737080
511454450163618,511454510820409,1773454778829,90,7952022445
511454483536900,511454556975357,1773454778876,90,7998177393
511454516910181,511454579326763,1773454778898,90,8020528799
511454550283514,511454620502023,1773454778939,90,8061704059
511454583656795,511454655754211,1773454778974,90,8096956247
511454617030129,511454688741711,1773454779007,90,8129943747
511454650403410,511454721363742,1773454779040,90,8162565778
511454683776743,511454744167857,1773454779063,90,8185369893
511454717150025,511454791057284,1773454779110,90,8232259320
511454750523358,511454823107127,1773454779142,90,8264309163
511454783896639,511454852887961,1773454779172,90,8294089997
511454817269920,511454887700461,1773454779206,90,8328902497
511454850643254,511454921739992,1773454779240,90,8362942028
511454884016535,511454943309471,1773454779262,90,8384511507
511454917389868,511454978494471,1773454779297,90,8419696507
511454950763150,511455017811086,1773454779336,90,8459013122
511454984136483,511455044042388,1773454779363,90,8485244424
511455017509764,511455081091502,1773454779400,90,8522293538
511455050883045,511455118257023,1773454779437,90,8559459059
511455084256379,511455159822648,1773454779478,90,8601024684
511455117629660,511455194876190,1773454779514,90,8636078226
511455151002993,511455223244158,1773454779542,90,8664446194
