provider,elapsed_realtime_ns,wall_time_ms,latitude,longitude,altitude,accuracy_m,speed_mps,bearing_deg,vertical_accuracy_m
fused,511448013672026,1773454772332,35.7425474,139.4619966,151.40000915527344,11.923,0.0,0.0,1.333107
fused,511455333941346,1773454779653,35.7425663,139.4620046,151.40000915527344,11.935,0.25320548,19.000448,0.8428895
